id,name,address,district,lng,lat,type,tel,source,crawl_time
B0JGOU08XQ,纯K(望京店),北京城区望京东园四区3号楼嘉瑞文化中心B1层(望京阿里对面),朝阳区,116.490263,40.001221,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0LGGDW15S,魅KTV(朝阳大悦城),朝阳北路101号朝阳大悦城9F层9F-08,朝阳区,116.518913,39.923987,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0FFJ8KZ6I,唱吧麦颂KTV(姚家园活力东方店),北京城区姚家园路甲1号活力东方购物广场一层西馆唱吧麦颂,朝阳区,116.521174,39.940288,体育休闲服务;娱乐场所;娱乐场所,,高德地图,2026-02-06 09:34:52
B0L0GZ2J45,星聚会KTV(北京远洋未来汇店),八里庄街道慈云寺北里209号楼层301、303、304、305、307部分,朝阳区,116.492312,39.916153,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0JUYAMN83,AM8ER音乐餐吧(尚都国际中心店),北京城区中国东大桥路甲8号,朝阳区,116.451194,39.919723,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0L2AH1SHJ,星聚会KTV(北京朝阳公园棕榈泉店),北京城区朝阳公园南路8号院14号02层02号H301,朝阳区,116.478815,39.932248,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0L6N53EYB,唱吧麦颂KTV(常营华联店),北京城区朝阳北路17号楼,朝阳区,116.596186,39.926212,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0G0DH9652,金仕达KTV,北京城区磨房北里二区222号2层,朝阳区,116.471382,39.881777,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0FFM1H69Z,魅KTV(新辰里购物中心亚运村店),北辰东路8号院新辰里购物中心B1九本居酒屋旁,朝阳区,116.406622,39.991735,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0K3HL5DYU,星聚会KTV(北京姚家园万象汇店),北京城区青年北路35号院1号楼2层L203、L204、L205,朝阳区,116.516015,39.941242,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B000A9ETAQ,音畔量贩KTV(铭泽生活广场店),周庄嘉园32号,朝阳区,116.476838,39.864448,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0FFIC8MF5,唱吧麦颂KTV(草房店),常营丽景园6号楼-1层-110,朝阳区,116.612160,39.924342,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0FFIC6T69,唱吧麦颂KTV(三元桥店),曙光西里街甲6号院9号楼1至2层,朝阳区,116.448836,39.964038,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0LB4SDXUW,唱吧麦颂KTV(双合地铁站店),垡头街道双合北街10号楼合憬荟购物中心,朝阳区,116.526842,39.858845,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0LR75I7QN,唱吧麦颂KTV(来广营地铁站店),北京城区来广营西路2号院3号楼101内2层,朝阳区,116.464966,40.020371,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0FFIKJNC8,星聚会KTV(合生汇店),北京城区西大望路甲22号院1号楼商业部分6层01/02B号,朝阳区,116.478129,39.894270,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0H17S6BV1,同乐迪音乐火锅(望京南湖店),望京南湖街道南湖中园211号楼3层,朝阳区,116.461629,40.000637,餐饮服务;中餐厅;火锅店,,高德地图,2026-02-06 09:34:52
B0FFGY8QP3,唱吧麦颂KTV(佰隆大厦店),黄寺大街路15号佰隆大厦2层,朝阳区,116.388577,39.963499,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0L3MUJPPX,酷秀KTV(富力城店),东三环中路65号北京富力广场F8层,朝阳区,116.460629,39.895483,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
