shop_id,name,address,district,lng,lat,rating,review_count,avg_price,price_level,packages,package_count,opening_hours,phone,tags,source,crawl_time
k17LZswniq0mevup,宝乐汇量贩式KTV(宋家庄店),丰台区双庙村125号院1号楼,丰台区,116.428753,39.838319,3.0,62.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": ""400,150,30"", ""mentions"": ""1"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""400,150,30"", ""mentions"": ""6"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""400,150,30"", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""400,150,30"", ""mentions"": ""7"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""400,150,30"", ""mentions"": ""5"", ""source"": ""review_text""}]",5.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 刘家窑/宋家庄 / 量贩式KTV"", ""amap_best_name"": ""宝乐汇量贩式KTV(宋家庄店)"", ""amap_best_score"": ""1.0000"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:47:43
k1sRsOg00iyNHAMT,爱畅KTV音箱(SKP店),八里庄街道建国路89号院17号楼1-B1层,朝阳区,116.482051,39.911138,0.0,,,,,,,,"{""category"": """", ""region"": """", ""shop_region"": """", ""amap_best_name"": ""星聚会KTV(X Party北京SKP店)"", ""amap_best_score"": ""0.4800"", ""amap_min_score_applied"": ""0.00""}",search+review_api+offline_enriched,2026-02-14 23:47:43
G6eT8h31jylPaYWS,春风时叁量贩唱吧(北京供销农资大厦店),黄寺大街路15号佰隆大厦2层,朝阳区,116.388577,39.963499,0.0,5.0,,,,,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 北大地/万丰路 / 量贩式KTV"", ""amap_best_name"": ""唱吧麦颂KTV(佰隆大厦店)"", ""amap_best_score"": ""0.5385"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""6""}",search+review_api+offline_enriched,2026-02-14 23:47:44
G4jCgaQVgjag7dYg,爱畅KTV音箱（金源mall店）,广顺北大街33号院215号楼06层601内06-01号,朝阳区,116.467841,39.993649,4.1,2.0,,,,,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 远大路 / 数码产品"", ""amap_best_name"": ""魅KTV(望京凯德MALL店)"", ""amap_best_score"": ""0.5600"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""2""}",search+review_api+offline_enriched,2026-02-14 23:47:44
G9dIdn0fbc9RIN0M,天贵唱吧量贩式KTV,西单北大街130号华威潮铺街5层,西城区,116.374545,39.911608,3.4,184.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": ""80,20,99"", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""80,20,99"", ""mentions"": ""8"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""80,20,99"", ""mentions"": ""22"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""80,20,99"", ""mentions"": ""8"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""80,20,99"", ""mentions"": ""5"", ""source"": ""review_text""}]",5.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 北大地/万丰路 / 量贩式KTV"", ""amap_best_name"": ""唱吧麦颂量贩KTV(西单店)"", ""amap_best_score"": ""0.3077"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:47:44
k2YXiFJfv6zmbXmA,梦知时歌厅,金顶西街与铸造村小街交叉口东40米,石景山区,116.160527,39.92833,0.0,,,,,,,,"{""category"": """", ""region"": """", ""shop_region"": """", ""amap_best_name"": ""玉鼎歌舞厅"", ""amap_best_score"": ""0.4000"", ""amap_min_score_applied"": ""0.00""}",search+review_api+offline_enriched,2026-02-14 23:47:45
k8sHQKBpiWUBAsn4,首座KTV,文化北街11号北京市平谷区经济和信息化委员会附近,平谷区,117.117826,40.154,3.3,14.0,,,"[{""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""25,20"", ""mentions"": ""6"", ""source"": ""review_text""}]",1.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 芍药居 / KTV"", ""amap_best_name"": ""鑫座KTV量贩歌城"", ""amap_best_score"": ""0.3333"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""14""}",search+review_api+offline_enriched,2026-02-14 23:47:45
k12rEmACS5PjRQL5,大田轰趴馆·团建·桌游·KTV,苏州街18号院长远天地大厦A座F2层,海淀区,116.30656,39.977386,4.5,106.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": ""280"", ""mentions"": ""1"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""280"", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""280"", ""mentions"": ""4"", ""source"": ""review_text""}]",3.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 旧宫 / 轰趴馆"", ""amap_best_name"": ""相遇轰趴·桌游·团建·KTV"", ""amap_best_score"": ""0.4706"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:47:46
G7KDAd8SXDymGSDO,泰山量贩式KTV,新南路39号,密云区,116.868411,40.376998,3.4,17.0,,,"[{""title"": ""团购（评论提及）"", ""price_hint"": ""100,80"", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""100,80"", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""100,80"", ""mentions"": ""5"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""100,80"", ""mentions"": ""1"", ""source"": ""review_text""}]",4.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 清河商圈 / 量贩式KTV"", ""amap_best_name"": ""世纪丰泰KTV"", ""amap_best_score"": ""0.3333"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:47:46
jFlTBA56THvhjhAh,派对空间主题量贩KTV(怀柔店),毛家湾胡同4号(北京站地铁站C东南出口步行260米),东城区,116.430701,39.904396,4.0,365.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": ""10"", ""mentions"": ""16"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""10"", ""mentions"": ""6"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""10"", ""mentions"": ""5"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""10"", ""mentions"": ""12"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""10"", ""mentions"": ""6"", ""source"": ""review_text""}]",5.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""怀柔区 / 怀柔城区 / 量贩式KTV"", ""amap_best_name"": ""蓝调量贩式主题KTV(北京站店)"", ""amap_best_score"": ""0.5263"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:47:47
