id,name,address,district,lng,lat,type,facility_type,keyword
BX09907297,蒲黄榆地铁站F东北口,14号线,丰台区,116.424391,39.865796,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10026487,永安里地铁站出入口,1号线/八通线,朝阳区,116.449249,39.907897,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907342,东直门地铁站D西南口,2号线,东城区,116.433240,39.940231,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10015233,鼓楼大街地铁站G东南口,8号线,东城区,116.394111,39.946917,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10020920,永安里地铁站A2南口,1号线/八通线,朝阳区,116.449864,39.908320,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09906950,双井地铁站G东南口,7号线,朝阳区,116.462684,39.893096,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907002,雍和宫地铁站F东南口,5号线,东城区,116.416753,39.947482,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907337,东直门地铁站A西北口,2号线,东城区,116.433159,39.941962,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09917828,东四地铁站出入口,5号线,东城区,116.416500,39.924885,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10015382,金台夕照地铁站A西北口,10号线,朝阳区,116.460658,39.916784,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907276,北京南站地铁站A北出口,14号线;4号线/大兴线,丰台区,116.378671,39.865266,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907270,广安门内地铁站B东北口,7号线,西城区,116.359353,39.889736,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907007,东四十条地铁站C东南口,2号线;3号线,东城区,116.435391,39.933329,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907298,蒲黄榆地铁站B东北口,5号线,丰台区,116.422699,39.865929,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09900456,呼家楼地铁站C东南口,10号线,朝阳区,116.462027,39.922989,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10020219,景泰地铁站D西南口,14号线,东城区,116.409888,39.865001,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10020581,劲松地铁站A西北口,10号线,朝阳区,116.460276,39.884710,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10020840,方庄地铁站A西北口,14号线,丰台区,116.439327,39.866509,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907296,蒲黄榆地铁站G东南口,14号线,丰台区,116.424423,39.865451,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10036803,平安里地铁站L口,19号线,西城区,116.368513,39.932761,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10015177,呼家楼地铁站B东北口,10号线,朝阳区,116.462007,39.924484,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907383,国贸地铁站B东北口,1号线/八通线,朝阳区,116.460723,39.908869,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907382,国贸地铁站E1西北口,10号线,朝阳区,116.460789,39.909201,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10019786,刘家窑地铁站C东南口,5号线,丰台区,116.422937,39.856980,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09906988,南礼士路地铁站A西北口,1号线/八通线,西城区,116.352344,39.907433,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09916924,永安里地铁站E口,17号线,朝阳区,116.450052,39.910671,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10015267,劲松地铁站C东南口,10号线,朝阳区,116.461744,39.883987,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907363,安定门地铁站A西北口,2号线,东城区,116.407598,39.949815,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907117,阜成门地铁站C东南口,2号线,西城区,116.357259,39.922885,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907326,复兴门地铁站B东北口,1号线/八通线;2号线,西城区,116.358302,39.907896,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907428,工人体育场地铁站D口,17号线,朝阳区,116.451422,39.933970,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907294,蒲黄榆地铁站A西北口,5号线,丰台区,116.421236,39.866192,交通设施服务;地铁站;出入口,地铁站,地铁口
